Device ID,LBR-0013797,,                                     ,,,,,,,,,,,,,
                                                             ,,,,,,,,,,,,,,,,
Series No,17,,                                            ,,,,,,,,,,,,,
Total number of shots,5,,                                ,,,,,,,,,,,,,
                                                             ,,,,,,,,,,,,,,,,
Units velocity,fps,,                                        ,,,,,,,,,,,,,
Units distances,m,,                                         ,,,,,,,,,,,,,
Units kinetic energy,ft-lbf,,                               ,,,,,,,,,,,,,
Units weight,grain (gr),,                                   ,,,,,,,,,,,,,
                                                             ,,,,,,,,,,,,,,,,
Stats - Average,2438.85,fps,                                ,,,,,,,,,,,,,
Stats - Highest,2444.99,fps,                                ,,,,,,,,,,,,,
Stats - Lowest,2435.15,fps,                                 ,,,,,,,,,,,,,
Stats - Ext. Spread,9.84,fps,                               ,,,,,,,,,,,,,
Stats - Std. Dev,3.83,fps,                                  ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Shot ID,V0,V10,V19,V19,V41,V50,Ke0,Ke10,Ke19,Ke19,Ke41,Ke50,PF10,Proj. Weight,Date,Time
1,2437,2422,2408,2408,2376,2368,527,520,515,515,501,498,96.88,40,8/29/2020,15:28:16
2,2435,2419,2405,2405,2372,2357,526,519,513,513,499,493,96.76,40,8/29/2020,15:28:23
3,2438,2422,2408,2408,2373,2358,527,520,514,514,500,493,96.88,40,8/29/2020,15:28:28
4,2445,2427,2413,2413,2378,2363,530,523,517,517,501,495,97.08,40,8/29/2020,15:28:33
5,2440,2423,2409,2409,2373,2367,528,521,515,515,500,497,96.92,40,8/29/2020,15:28:38
