sep=;
Device ID;LBR-0013797;;
Series No;0042
Shot No;0002

Time (s);Vel (fps);Dist (m);SNR
0.000000;913.34;0.00;-
0.017021;918.95;4.71;8.29
0.023021;934.11;6.41;9.43
0.025021;943.08;6.98;8.93
0.037021;948.24;10.44;7.80
0.039021;961.12;11.02;7.03
0.041021;966.99;11.61;9.01
0.047021;971.61;13.38;12.61
0.055021;975.76;15.76;10.08
0.059021;990.75;16.95;9.78
0.065021;993.72;18.77;11.84
0.083021;984.14;24.19;10.35
0.101021;982.89;29.59;8.43
0.117021;977.75;34.37;11.14
0.127021;974.31;37.35;8.36
0.149021;968.14;43.86;7.51
0.159021;973.64;46.82;10.49
0.161021;958.55;47.41;8.87
0.175021;971.51;51.53;8.43
0.187021;957.00;55.05;8.53
0.191021;952.07;56.22;8.14
