sep=;
Device ID;LBR0013797202206060629;;

Series No;#008;;
Total number of shots;0013;;

Units velocity;fps;;
Units distances;m;;
Units kinetic energy;ft-lbf;;
Units weight;grain;;

Stats - Average;2554.32;fps;
Stats - Highest;2648.43;fps;
Stats - Lowest;2454.82;fps;
Stats - Ext. Spread;193.61;fps;
Stats - Std. Dev;50.04;fps;

Shot ID;V0;V10.00;V20.00;V30.00;V40.00;V50.00;Ke0;Ke10.00;Ke20.00;Ke30.00;Ke40.00;Ke50.00;PF10.00;Proj. Weight;Date;Time
0001;2648.43;2615.56;2581.93;2550.54;2517.93;2484.99;2802.96;2733.82;2663.96;2599.57;2533.52;2467.67;470.88;180.00;2023-10-29;16:18:34;
0002;2579.54;2547.02;2514.34;2482.50;2450.51;2417.71;2659.02;2592.42;2526.31;2462.73;2399.67;2335.87;458.46;180.00;2023-10-29;16:19:10;
0003;2507.35;2479.28;2450.46;2422.64;2394.61;2367.08;2512.28;2456.34;2399.57;2345.40;2291.44;2239.05;446.22;180.00;2023-10-29;16:19:31;
0004;2591.81;2559.93;2527.49;2495.82;2463.59;2430.23;2684.38;2618.75;2552.81;2489.22;2425.37;2360.12;460.80;180.00;2023-10-29;16:20:07;
0005;2568.11;2534.75;2501.07;2468.52;2436.78;2403.78;2635.52;2567.49;2499.71;2435.07;2372.85;2309.02;456.30;180.00;2023-10-29;16:20:36;
0006;2584.23;2545.17;2510.93;2478.76;2445.72;2412.29;2668.70;2588.64;2519.46;2455.33;2390.29;2325.40;458.10;180.00;2023-10-29;16:21:15;
0007;2603.72;2569.39;2534.54;2503.05;2470.75;2438.61;2709.12;2638.14;2567.07;2503.67;2439.47;2376.42;462.42;180.00;2023-10-29;16:22:07;
0008;2533.49;2500.90;2468.01;2436.52;2404.57;2372.77;2564.93;2499.38;2434.07;2372.36;2310.54;2249.83;450.18;180.00;2023-10-29;16:22:34;
0009;2506.37;2473.59;2440.45;2408.22;2376.35;2344.16;2510.31;2445.08;2380.02;2317.56;2256.63;2195.90;445.32;180.00;2023-10-29;16:23:13;
0010;2539.19;2500.68;2466.53;2435.93;2404.43;2372.26;2576.48;2498.94;2431.15;2371.21;2310.27;2248.87;450.18;180.00;2023-10-29;16:23:52;
0011;2558.07;2525.25;2491.31;2461.14;2429.09;2397.70;2614.94;2548.28;2480.24;2420.54;2357.90;2297.35;454.50;180.00;2023-10-29;16:25:13;
0012;2531.10;2498.40;2466.36;2435.78;2403.32;2371.96;2560.09;2494.39;2430.81;2370.90;2308.14;2248.30;449.64;180.00;2023-10-29;16:25:41;
0013;2454.82;2420.77;2387.20;2356.93;2325.96;2294.06;2408.12;2341.78;2277.28;2219.89;2161.95;2103.03;435.78;180.00;2023-10-29;16:26:12;
