sep=;
"ShotNumber";"SeriesName";"SeriesNumber";"Dx1";"Dx2";"Dx3";"Dx4";"Dx5";"V0";"Vx1";"Vx2";"Vx3";"Vx4";"Vx5";"K0";"Kx1";"Kx2";"Kx3";"Kx4";"Kx5";"ProjectileWeight";"PowerFactor";"CreationDateTime"
1;"#008";8;10;20;30;40;50;2648.431973194494;2615.5630997785247;2581.929284443674;2550.535227057171;2517.9264739429364;2484.988515458377;2802.956839807331;2733.81529813209;2663.9584860036016;2599.5694135611698;2533.523017001677;2467.6725942952;180.00000392383032;470.8800354003906;"2023-10-29 16:18:34"
2;"#008";8;10;20;30;40;50;2579.5365381115507;2547.0243038467665;2514.341659746127;2482.4980487973494;2450.5074568620644;2417.7120739393486;2659.023243686635;2592.417497591645;2526.3141138615006;2462.7288477257375;2399.66613591738;2335.865996684796;180.00000392383032;458.46002197265625;"2023-10-29 16:19:10"
3;"#008";8;10;20;30;40;50;2507.349249571935;2479.276481888721;2450.4593976839146;2422.6433461106494;2394.611628975438;2367.0771240874997;2512.282241035779;2456.3411707306786;2399.572012676808;2345.404384838352;2291.4423768363513;2239.048921379419;180.00000392383032;446.22003173828125;"2023-10-29 16:19:31"
4;"#008";8;10;20;30;40;50;2591.8076482657502;2559.9293946593893;2527.493454339918;2495.815847802332;2463.59497230508;2430.2316900938968;2684.3818898840555;2618.7542215237377;2552.812072751239;2489.2232117288363;2425.3665533771737;2360.120218953869;180.00000392383032;460.8000183105469;"2023-10-29 16:20:07"
5;"#008";8;10;20;30;40;50;2568.110868999633;2534.75079073366;2501.0673142480546;2468.517633873629;2436.7765491715704;2403.7763140019924;2635.5199243924735;2567.493190279499;2499.7094218477228;2435.0687870171582;2372.8494200431737;2309.015609815762;180.00000392383032;456.3000183105469;"2023-10-29 16:20:36"
6;"#008";8;10;20;30;40;50;2584.2279148852544;2545.1692195701917;2510.9276558783245;2478.7644513948517;2445.716157047124;2412.2871939591364;2668.7039156262035;2588.64258143073;2519.458251085826;2455.3266879031285;2390.2915227150093;2325.395290691388;180.00000392383032;458.10003662109375;"2023-10-29 16:21:15"
7;"#008";8;10;20;30;40;50;2603.7231205016424;2569.3888426452613;2534.5431350347385;2503.045750415213;2470.7475797397706;2438.611408544007;2709.120764881499;2638.143614116801;2567.0725313682537;2503.6657100624852;2439.4702335694683;2376.4242116604514;180.00000392383032;462.4200439453125;"2023-10-29 16:22:07"
8;"#008";8;10;20;30;40;50;2533.485833115447;2500.9011095902874;2468.00880732497;2436.523837993134;2404.567688468856;2372.7701342324717;2564.93123453296;2499.3772040444564;2434.0650267591664;2372.3572826088853;2310.536214523424;2249.8320570757555;180.00000392383032;450.1800231933594;"2023-10-29 16:22:34"
9;"#008";8;10;20;30;40;50;2506.3654381458973;2473.588678154715;2440.454478026045;2408.221187241104;2376.349742018315;2344.160505480011;2510.3111338356084;2445.0837247248605;2380.0177075866472;2317.562803377599;2256.625459503415;2195.9045333615804;180.00000392383032;445.3200378417969;"2023-10-29 16:23:13"
10;"#008";8;10;20;30;40;50;2539.1854513974145;2500.6810386036773;2466.5301866105674;2435.9349128142258;2404.427315619344;2372.2615079303882;2576.4849390722197;2498.937349622199;2431.149331455922;2371.210589877339;2310.2664553589;2248.8676137910556;180.00000392383032;450.1800231933594;"2023-10-29 16:23:52"
11;"#008";8;10;20;30;40;50;2558.0665007663656;2525.2486902271803;2491.3070959055967;2461.1409505208157;2429.0892833799653;2397.699030678399;2614.944205359266;2548.2795852812483;2480.237651103928;2420.5370760997434;2357.90184325411;2297.354954639318;180.00000392383032;454.5000305175781;"2023-10-29 16:25:13"
12;"#008";8;10;20;30;40;50;2531.0954897422307;2498.4042350388395;2466.3563725829263;2435.7779194989366;2403.3179495903905;2371.9647425053145;2560.0934936076537;2494.38898918102;2430.806701983626;2370.9049559182495;2308.1351038656535;2248.3049908199055;180.00000392383032;449.6400451660156;"2023-10-29 16:25:41"
13;"#008";8;10;20;30;40;50;2454.8201673612643;2420.7682371765122;2387.1985007458616;2356.9296288677856;2325.963898906541;2294.0550075741103;2408.120035620321;2341.7751368471077;2277.2768540794846;2219.8927756988537;2161.9453200510184;2103.034613191753;180.00000392383032;435.780029296875;"2023-10-29 16:26:12"
