sep=;
Device ID;LBR-0013797;;
Series No;0009
Shot No;0002

Time (s);Vel (fps);Dist (m);SNR
0.000000;2567.31;0.00;-
0.007021;2559.70;5.48;27.22
0.008021;2559.09;6.26;28.00
0.009021;2558.14;7.04;27.21
0.010021;2557.07;7.82;26.36
0.011021;2556.56;8.60;27.37
0.012021;2556.22;9.38;26.31
0.013021;2555.02;10.16;26.31
0.014021;2553.20;10.94;24.70
0.015021;2551.55;11.72;25.64
0.016021;2550.50;12.49;25.86
0.017021;2549.56;13.27;24.11
0.018021;2549.06;14.05;23.50
0.019021;2549.74;14.82;22.83
0.020021;2546.20;15.60;22.00
0.021021;2546.57;16.38;21.00
0.022021;2545.54;17.15;22.97
0.023021;2545.85;17.93;20.47
0.024021;2542.81;18.70;20.86
0.025021;2543.44;19.48;19.02
0.026021;2542.63;20.25;21.69
0.027021;2540.23;21.03;21.98
0.028021;2539.46;21.80;19.91
0.029021;2525.84;22.58;11.58
0.030021;2534.62;23.35;20.61
0.031021;2540.58;24.12;15.49
0.032021;2535.27;24.89;20.65
0.033021;2536.11;25.67;19.23
0.034021;2532.93;26.44;17.10
0.035021;2534.11;27.21;18.42
0.036021;2529.47;27.98;11.51
0.037021;2535.59;28.75;13.37
0.038021;2531.70;29.53;12.61
0.039021;2528.67;30.30;13.53
0.040021;2527.94;31.07;19.59
0.041021;2528.46;31.84;18.63
0.042021;2529.72;32.61;10.81
0.043021;2530.40;33.38;9.77
0.044021;2521.65;34.15;12.32
0.045021;2527.12;34.92;11.88
0.046021;2521.32;35.69;8.57
0.047021;2520.08;36.46;8.81
0.049021;2520.23;37.99;13.18
0.050021;2521.22;38.76;15.45
0.051021;2519.47;39.53;16.84
0.052021;2518.65;40.30;18.59
0.053021;2515.14;41.07;17.13
0.054021;2515.63;41.83;15.94
0.055021;2518.89;42.60;16.33
0.056021;2513.05;43.37;11.66
0.060021;2512.70;46.43;10.15
0.062021;2503.43;47.96;7.42
0.063021;2514.45;48.72;7.26
0.068021;2503.37;52.55;11.32
0.069021;2497.57;53.31;14.12
0.070021;2499.56;54.07;14.10
0.071021;2497.77;54.83;13.69
0.072021;2497.27;55.59;14.76
0.073021;2502.83;56.36;15.84
0.074021;2497.25;57.12;13.35
0.075021;2498.23;57.88;15.72
0.076021;2494.05;58.64;12.80
0.077021;2496.74;59.40;12.97
