sep=;
Device ID;LBR-0013797;;
Series No;0012
Shot No;0004

Time (s);Vel (fps);Dist (m);SNR
0.000000;2465.03;0.00;-
0.008021;2456.56;6.01;35.04
0.009021;2453.90;6.76;30.49
0.010021;2455.63;7.50;32.66
0.011021;2453.61;8.25;31.56
0.012021;2452.51;9.00;30.34
0.013021;2452.23;9.75;32.23
0.014021;2450.67;10.49;31.47
0.015021;2449.51;11.24;30.31
0.016021;2447.73;11.99;29.40
0.017021;2447.58;12.73;28.48
0.018021;2445.42;13.48;26.86
0.019021;2442.95;14.22;26.71
0.020021;2444.13;14.97;25.91
0.021021;2445.24;15.71;24.99
0.022021;2441.25;16.46;26.24
0.023021;2441.07;17.20;25.25
0.024021;2439.49;17.95;25.57
0.025021;2439.87;18.69;23.27
0.026021;2439.61;19.43;22.47
0.027021;2437.26;20.18;22.67
0.028021;2436.09;20.92;23.48
0.029021;2435.57;21.66;20.66
0.030021;2432.43;22.40;22.36
0.031021;2432.76;23.15;11.58
0.032021;2427.55;23.89;21.86
0.033021;2433.16;24.63;18.03
0.034021;2427.89;25.37;22.75
0.035021;2428.89;26.11;18.30
0.036021;2427.04;26.85;19.89
0.037021;2424.46;27.59;20.05
0.038021;2426.64;28.33;18.09
0.039021;2428.07;29.07;14.57
0.040021;2425.02;29.81;13.23
0.041021;2425.51;30.55;13.85
0.042021;2416.95;31.28;19.80
0.043021;2422.30;32.02;17.98
0.044021;2421.19;32.76;15.19
0.045021;2415.82;33.50;10.97
0.046021;2418.44;34.23;11.51
0.047021;2416.91;34.97;12.79
0.048021;2416.36;35.71;10.86
0.049021;2412.11;36.44;12.20
0.050021;2410.81;37.18;9.00
0.051021;2411.54;37.91;11.58
0.052021;2410.48;38.65;13.38
0.053021;2408.28;39.38;17.47
0.054021;2408.46;40.12;16.86
0.055021;2406.90;40.85;19.62
0.056021;2407.59;41.58;15.82
0.057021;2410.54;42.32;12.53
0.058021;2407.88;43.05;8.87
0.061021;2407.56;45.25;8.52
0.063021;2397.84;46.72;9.26
0.064021;2397.23;47.45;8.42
0.066021;2401.19;48.91;10.88
0.067021;2392.28;49.64;10.16
0.068021;2390.71;50.37;7.14
0.069021;2392.19;51.10;8.54
0.070021;2387.97;51.83;8.60
0.071021;2390.96;52.56;12.00
0.072021;2385.81;53.28;15.59
0.073021;2388.59;54.01;18.22
0.074021;2386.98;54.74;15.64
0.075021;2385.59;55.47;13.70
0.076021;2386.23;56.19;15.01
0.077021;2382.14;56.92;14.61
0.078021;2381.99;57.65;13.65
0.079021;2381.71;58.37;14.50
0.080021;2380.20;59.10;11.83
