sep=;
Device ID;LBR-0013797;;
Series No;0005
Shot No;0002

Time (s);Vel (fps);Dist (m);SNR
0.000000;2400.95;0.00;-
0.008021;2390.73;5.85;34.33
0.009021;2389.45;6.58;34.92
0.010021;2388.38;7.31;36.29
0.011021;2387.48;8.03;34.27
0.012021;2386.14;8.76;33.90
0.013021;2381.04;9.49;32.49
0.014021;2386.31;10.21;33.86
0.015021;2381.85;10.94;34.87
0.016021;2380.39;11.67;32.11
0.017021;2381.13;12.39;33.12
0.018021;2376.30;13.12;33.27
0.019021;2381.39;13.84;28.75
0.020021;2374.11;14.57;32.88
0.021021;2369.98;15.29;33.88
0.022021;2374.07;16.01;22.39
0.023021;2368.34;16.74;33.22
0.024021;2369.36;17.46;31.10
0.025021;2372.34;18.18;25.11
0.026021;2369.63;18.90;24.34
0.027021;2366.95;19.63;24.62
0.028021;2364.85;20.35;25.67
0.029021;2365.45;21.07;25.80
0.030021;2361.91;21.79;25.62
0.031021;2362.68;22.51;26.39
0.032021;2359.82;23.23;22.23
0.033021;2355.99;23.95;22.00
0.034021;2356.71;24.66;24.20
0.035021;2358.77;25.38;16.40
0.036021;2356.58;26.10;21.89
0.037021;2353.79;26.82;20.83
0.038021;2352.38;27.54;22.55
0.039021;2352.67;28.25;22.05
0.040021;2350.51;28.97;19.41
0.041021;2348.52;29.69;21.85
0.042021;2348.97;30.40;18.57
0.043021;2349.35;31.12;14.84
0.044021;2347.76;31.83;17.00
0.045021;2344.44;32.55;15.02
0.046021;2339.57;33.26;14.72
0.047021;2351.82;33.98;13.26
0.048021;2341.71;34.69;12.64
0.049021;2341.99;35.41;15.98
0.050021;2338.94;36.12;20.33
0.051021;2334.32;36.83;20.92
0.052021;2333.57;37.54;21.67
0.053021;2332.19;38.26;20.37
0.054021;2331.41;38.97;21.39
0.055021;2330.51;39.68;14.35
0.057021;2325.38;41.10;8.06
0.058021;2328.22;41.81;8.68
0.060021;2319.38;43.22;11.98
0.061021;2320.26;43.93;13.18
0.062021;2324.34;44.64;12.20
0.063021;2330.82;45.35;12.23
0.064021;2316.17;46.05;11.90
0.065021;2320.43;46.76;8.74
0.067021;2316.28;48.17;8.18
0.068021;2314.23;48.88;12.39
0.069021;2313.83;49.59;15.10
0.070021;2312.90;50.29;12.44
0.071021;2311.54;51.00;13.82
0.072021;2309.84;51.70;16.44
0.073021;2310.14;52.40;17.57
0.074021;2309.16;53.11;16.68
0.075021;2306.64;53.81;16.45
0.076021;2303.89;54.51;17.22
0.077021;2300.09;55.22;15.56
0.078021;2304.17;55.92;17.20
0.079021;2299.41;56.62;13.13
0.080021;2302.46;57.32;14.92
0.081021;2297.36;58.02;14.55
0.082021;2289.55;58.72;10.41
0.083021;2293.86;59.42;7.35
