sep=;
"ShotNumber";"SeriesName";"SeriesNumber";"Dx1";"Dx2";"Dx3";"Dx4";"Dx5";"V0";"Vx1";"Vx2";"Vx3";"Vx4";"Vx5";"K0";"Kx1";"Kx2";"Kx3";"Kx4";"Kx5";"ProjectileWeight";"PowerFactor";"CreationDateTime"
1;"#006";6;10;20;30;40;50;2361.2980079150093;2336.813058127239;2312.6356870796258;2291.363293104581;2267.891991482616;2244.4495253675404;2228.129185969312;2182.160587453051;2137.239598787414;2098.1023446397185;2055.3391786804746;2013.0680324153564;180.00000392383032;420.6600341796875;"2023-10-29 15:56:12"
2;"#006";6;10;20;30;40;50;2357.7188006223173;2332.9462967519516;2307.770496278281;2284.268156437094;2257.5736859338954;2235.013706477592;2221.379599867058;2174.9448514003675;2128.256652573518;2085.129041454176;2036.6792308340612;1996.1774611373373;180.00000392383032;419.9400329589844;"2023-10-29 15:56:43"
3;"#006";6;10;20;30;40;50;2358.1293061023453;2330.214933460449;2304.2779957528337;2279.5377315811434;2254.7175690257795;2229.4076033464407;2222.153201777321;2169.8550754428975;2121.8198659750547;2076.5019166996003;2031.5291757936398;1986.1759638538854;180.00000392383032;419.4000244140625;"2023-10-29 15:57:14"
4;"#006";6;10;20;30;40;50;2343.919208356385;2320.0570254188033;2295.727066480565;2274.4150236835467;2250.0201848548068;2228.1901041666506;2195.4524839601327;2150.9785788037616;2106.101391656524;2067.179535033132;2023.0731877681776;1984.0072197337527;180.00000392383032;417.60003662109375;"2023-10-29 15:57:52"
5;"#006";6;10;20;30;40;50;2396.0335799089394;2371.241451874163;2346.4455191544494;2322.6932715868847;2298.112603935966;2274.1036402584523;2294.164560260964;2246.934034524534;2200.1876167160262;2155.869605732172;2110.4806527583055;2066.613550923225;180.00000392383032;426.780029296875;"2023-10-29 15:58:20"
6;"#006";6;10;20;30;40;50;2358.999177226853;2333.1771810536457;2307.3177387707965;2282.852212900861;2258.7301099081205;2232.1900295147275;2223.792928166674;2175.3753675014536;2127.421656496653;2082.5448352837852;2038.7663103723494;1991.1367763943724;180.00000392383032;419.9400329589844;"2023-10-29 15:58:51"
7;"#006";6;10;20;30;40;50;2358.963132843241;2335.359468234789;2311.81788006478;2289.25089197833;2267.2285745775757;2244.5085981073494;2223.724971692773;2179.446651891594;2135.7283010902015;2094.2356589599303;2054.1368751090968;2013.1739996092492;180.00000392383032;420.3000183105469;"2023-10-29 15:59:36"
8;"#006";6;10;20;30;40;50;2411.2310935192986;2383.6443242751225;2357.814718732041;2334.993817987701;2310.4527991587556;2288.531606278691;2323.359618148666;2270.5008624250568;2221.56034649916;2178.7642277675163;2133.206838482647;2092.919842404169;180.00000392383032;429.1200256347656;"2023-10-29 16:00:04"
9;"#006";6;10;20;30;40;50;2318.7554226772513;2293.672136121518;2268.24502619544;2243.6419309280514;2220.168226347179;2194.882290256915;2148.5657637457257;2102.3326904197265;2055.9791232242983;2011.619614845876;1969.747382352296;1925.1351989415568;180.00000392383032;412.9200439453125;"2023-10-29 16:00:30"
10;"#006";6;10;20;30;40;50;2322.750542107513;2296.5518821255578;2272.3809189683648;2250.1437369919663;2226.5160427944393;2202.5030741854134;2155.97592136016;2107.6150362587287;2063.4836578036584;2023.2953741115473;1981.0271309514183;1938.5268135023464;180.00000392383032;413.46002197265625;"2023-10-29 16:00:56"
