sep=;
Device ID;LBR0013797202206060629;;

Series No;#005;;
Total number of shots;0015;;

Units velocity;fps;;
Units distances;m;;
Units kinetic energy;ft-lbf;;
Units weight;grain;;

Stats - Average;2869.79;fps;
Stats - Highest;2912.36;fps;
Stats - Lowest;2821.95;fps;
Stats - Ext. Spread;90.41;fps;
Stats - Std. Dev;22.46;fps;

Shot ID;V0;V10.00;V20.00;V30.00;V40.00;V50.00;Ke0;Ke10.00;Ke20.00;Ke30.00;Ke40.00;Ke50.00;PF10.00;Proj. Weight;Date;Time
0001;2878.25;2850.12;2821.43;2791.44;2761.40;2731.86;3310.52;3246.13;3181.11;3113.84;3047.18;2982.34;513.00;180.00;2023-10-22;17:30:31;
0002;2865.92;2837.27;2808.31;2778.35;2748.43;2719.01;3282.21;3216.91;3151.58;3084.71;3018.62;2954.34;510.66;180.00;2023-10-22;17:31:21;
0003;2883.17;2854.56;2825.52;2795.81;2765.88;2736.48;3321.84;3256.24;3190.32;3123.58;3057.08;2992.44;513.90;180.00;2023-10-22;17:31:48;
0004;2868.77;2840.15;2811.20;2781.10;2751.17;2721.82;3288.74;3223.45;3158.06;3090.81;3024.64;2960.45;511.20;180.00;2023-10-22;17:39:26;
0005;2885.34;2856.85;2827.78;2797.79;2767.55;2737.72;3326.85;3261.48;3195.44;3128.02;3060.77;2995.14;514.26;180.00;2023-10-22;17:39:49;
0006;2857.02;2824.37;2795.45;2765.70;2735.95;2706.59;3261.87;3187.73;3122.79;3056.68;2991.26;2927.42;508.32;180.00;2023-10-22;17:40:35;
0007;2885.92;2856.65;2827.10;2796.75;2766.33;2736.59;3328.17;3261.01;3193.90;3125.69;3058.07;2992.66;514.26;180.00;2023-10-22;17:43:44;
0008;2863.87;2835.35;2806.50;2776.65;2747.03;2717.35;3277.52;3212.57;3147.51;3080.92;3015.55;2950.74;510.30;180.00;2023-10-22;17:44:17;
0009;2912.36;2883.57;2854.26;2824.13;2793.68;2763.60;3389.45;3322.77;3255.56;3187.19;3118.83;3052.03;519.12;180.00;2023-10-22;17:44:52;
0010;2900.54;2871.52;2841.93;2811.35;2780.90;2750.91;3361.98;3295.06;3227.49;3158.41;3090.36;3024.07;516.96;180.00;2023-10-22;17:46:45;
0011;2867.68;2841.86;2814.43;2784.62;2754.63;2724.69;3286.24;3227.34;3165.33;3098.65;3032.25;2966.70;511.56;180.00;2023-10-22;17:47:25;
0012;2843.92;2815.79;2787.23;2757.80;2728.37;2698.95;3232.01;3168.39;3104.45;3039.24;2974.71;2910.91;506.88;180.00;2023-10-22;17:48:18;
0013;2821.95;2813.55;2802.73;2772.65;2742.69;2712.64;3182.28;3163.36;3139.06;3072.06;3006.03;2940.52;506.52;180.00;2023-10-22;17:48:49;
0014;2856.24;2827.59;2798.65;2768.85;2739.24;2709.96;3260.08;3195.01;3129.95;3063.64;2998.47;2934.70;509.04;180.00;2023-10-22;17:49:13;
0015;2855.93;2827.89;2799.61;2770.12;2740.80;2712.16;3259.37;3195.68;3132.08;3066.45;3001.87;2939.47;509.04;180.00;2023-10-22;17:49:36;
