sep=;
"ShotNumber";"SeriesName";"SeriesNumber";"Dx1";"Dx2";"Dx3";"Dx4";"Dx5";"V0";"Vx1";"Vx2";"Vx3";"Vx4";"Vx5";"K0";"Kx1";"Kx2";"Kx3";"Kx4";"Kx5";"ProjectileWeight";"PowerFactor";"CreationDateTime"
1;"#005";5;10;20;30;40;50;2878.253366064817;2850.124128847277;2821.4331999851133;2791.44287109373;2761.402680805016;2731.8645086813904;3310.524516495794;3246.1330447744685;3181.1072452174526;3113.8397203650943;3047.180989702564;2982.33948175112;180.00000392383032;513.0000610351562;"2023-10-22 17:30:31"
2;"#005";5;10;20;30;40;50;2865.9177765132667;2837.2660959799255;2808.309840405061;2778.354554664412;2748.4295061566813;2719.0080777866438;3282.2088983291155;3216.909942045952;3151.583437557477;3084.708280402975;3018.616701753194;2954.335149841079;180.00000392383032;510.6600341796875;"2023-10-22 17:31:21"
3;"#005";5;10;20;30;40;50;2883.1678175237653;2854.555585565822;2825.5158271689224;2795.807245209441;2765.883197934589;2736.4845976741726;3321.8392268495577;3256.235258310632;3190.320060348511;3123.584204449152;3057.077426045193;2992.4353887139946;180.00000392383032;513.9000244140625;"2023-10-22 17:31:48"
4;"#005";5;10;20;30;40;50;2868.7672852843875;2840.1466429702677;2811.1955938063693;2781.1007362025107;2751.1686790646336;2721.8219426673036;3288.7389758407153;3223.4452220271546;3158.0637519729726;3090.8092695317614;3024.6366003192215;2960.453117308276;180.00000392383032;511.2000427246094;"2023-10-22 17:39:26"
5;"#005";5;10;20;30;40;50;2885.3434965679135;2856.8546165005537;2827.7804156926472;2797.7896863081123;2767.552052895834;2737.7219212649493;3326.8545317822254;3261.482450046912;3195.436051821525;3128.0154950021356;3060.767645486921;2995.142108120474;180.00000392383032;514.260009765625;"2023-10-22 17:39:49"
6;"#005";5;10;20;30;40;50;2857.0244255966822;2824.3670125645713;2795.453810003466;2765.7025755233767;2735.9465351254726;2706.5923896048444;3261.8701812554;3187.7263100982836;3122.794511348653;3056.678162137899;2991.258726423697;2927.416245904658;180.00000392383032;508.3200378417969;"2023-10-22 17:40:35"
7;"#005";5;10;20;30;40;50;2885.915801281045;2856.6459595687543;2827.0985761026495;2796.750606827203;2766.3299480448045;2736.589126386648;3328.174418552266;3261.0060477370816;3193.89525882341;3125.6924803942507;3058.065074386336;2992.6640042104755;180.00000392383032;514.260009765625;"2023-10-22 17:43:44"
8;"#005";5;10;20;30;40;50;2863.870455524094;2835.351338223815;2806.4956064299136;2776.64985556613;2747.0317850588303;2717.3542413185705;3277.521160920635;3212.569478643067;3147.512759330709;3080.9241080758356;3015.5472314231306;2950.742294564967;180.00000392383032;510.3000183105469;"2023-10-22 17:44:17"
9;"#005";5;10;20;30;40;50;2912.361765783895;2883.5697124010417;2854.2604221133533;2824.1277179067015;2793.680626576321;2763.599786232756;3389.4513738470273;3322.7653770428005;3255.561898187355;3187.186172390275;3118.8341301922515;3052.0318876627357;180.00000392383032;519.1200561523438;"2023-10-22 17:44:52"
10;"#005";5;10;20;30;40;50;2900.5374057399113;2871.520875945784;2841.927035274135;2811.351185395629;2780.8964846953745;2750.9097602423526;3361.984502005923;3295.0554080654542;3227.4878272718233;3158.413341135065;3090.3552915358705;3024.067316072126;180.00000392383032;516.9600219726562;"2023-10-22 17:46:45"
11;"#005";5;10;20;30;40;50;2867.6789451458744;2841.862155383633;2814.4299764958378;2784.6244751937547;2754.6273379188;2724.6918765891373;3286.2441149241477;3227.3404648209307;3165.334866630166;3098.646529606033;3032.2462841090182;2966.6995098544103;180.00000392383032;511.5600280761719;"2023-10-22 17:47:25"
12;"#005";5;10;20;30;40;50;2843.918086975558;2815.788449264867;2787.2324865946734;2757.8042498410646;2728.370005690187;2698.952181758511;3232.0117619882717;3168.3913001012766;3104.4534812618176;3039.244497051876;2974.7145584694795;2910.9124671845757;180.00000392383032;506.8800354003906;"2023-10-22 17:48:18"
13;"#005";5;10;20;30;40;50;2821.9542415748856;2813.5504935357;2802.725764397228;2772.651331944083;2742.6944442308286;2712.644041366758;3182.2822808147966;3163.3569008347395;3139.062607771702;3072.0571076617744;3006.0321391730486;2940.521661379845;180.00000392383032;506.52001953125;"2023-10-22 17:48:49"
14;"#005";5;10;20;30;40;50;2856.239258773663;2827.5935856375904;2798.6539505285027;2768.8516531716296;2739.242193267082;2709.9557310890145;3260.077574722377;3195.013824007571;3129.948341809371;3063.642900117237;2998.469469403244;2934.696261937481;180.00000392383032;509.0400390625;"2023-10-22 17:49:13"
15;"#005";5;10;20;30;40;50;2855.9300780609005;2827.8875476106055;2799.6075247216213;2770.121616954233;2740.7961066939192;2712.1604458866277;3259.371822533779;3195.678177890282;3132.0816147964592;3066.4538905730938;3001.87236934254;2939.4733143002363;180.00000392383032;509.0400390625;"2023-10-22 17:49:36"
