ShotNumber,SeriesName,SeriesNumber,Dx1,Dx2,Dx3,Dx4,Dx5,V0,Vx1,Vx2,Vx3,Vx4,Vx5,K0,Kx1,Kx2,Kx3,Kx4,Kx5,ProjectileWeight,PowerFactor,CreationDateTime
1,#007,7,10,20,30,40,50,2858.674257,2827.519294,2795.207507,2765.026343,2734.673968,2704.620762,3265.638501,3194.845936,3122.244246,3055.183589,2988.476734,2923.152824,147,420.2251158,2023-10-29 16:10
2,#007,7,10,20,30,40,50,2850.14155,2819.80099,2788.007641,2758.14507,2727.582236,2695.924854,3246.172729,3177.427745,3106.180474,3039.995746,2972.997011,2904.385976,147,418.9708079,2023-10-29 16:10
3,#007,7,10,20,30,40,50,2891.57497,2863.802372,2832.901922,2802.831895,2772.24343,2740.185154,3341.240057,3277.365327,3207.021298,3139.300346,3071.153275,3000.534221,147,425.0615206,2023-10-29 16:11
4,#007,7,10,20,30,40,50,2874.747649,2833.467619,2801.208897,2771.934049,2740.799311,2710.614743,3302.46498,3208.302233,3135.665733,3070.467835,3001.879388,2936.123764,147,422.5879044,2023-10-29 16:11
5,#007,7,10,20,30,40,50,2929.21612,2906.073222,2876.959373,2846.018874,2814.012062,2782.724335,3428.795603,3374.82977,3307.548521,3236.788465,3164.394896,3094.419135,147,430.5947696,2023-10-29 16:11
6,#007,7,10,20,30,40,50,2917.637662,2889.195039,2858.322023,2827.592384,2795.626022,2763.588973,3401.742836,3335.74226,3264.833794,3195.011109,3123.179279,3052.008004,147,428.8927364,2023-10-29 16:12
7,#007,7,10,20,30,40,50,2936.670499,2905.247205,2873.1649,2843.035801,2811.901263,2779.626921,3446.269264,3372.911531,3298.829507,3230.006699,3159.649431,3087.534254,147,431.6905633,2023-10-29 16:12
8,#007,7,10,20,30,40,50,2994.894593,2962.658299,2930.397975,2900.360388,2868.450896,2836.492143,3584.279345,3507.534046,3431.563004,3361.574155,3288.013601,3215.155156,147,440.2495052,2023-10-29 16:12
9,#007,7,10,20,30,40,50,3014.562211,2972.827421,2939.168775,2907.653568,2876.115934,2844.02642,3631.510194,3531.654111,3452.13536,3378.501287,3305.609457,3232.258001,147,443.1406451,2023-10-29 16:13
10,#007,7,10,20,30,40,50,3017.430343,2986.583159,2954.185666,2923.777423,2892.301865,2891.478851,3638.423705,3564.41276,3487.500987,3416.074884,3342.920136,3341.01793,147,443.5622604,2023-10-29 16:13
