sep=;
Device ID;LBR0013797202206060629;;

Series No;#004;;
Total number of shots;0005;;

Units velocity;fps;;
Units distances;m;;
Units kinetic energy;ft-lbf;;
Units weight;grain;;

Stats - Average;2686.23;fps;
Stats - Highest;2760.32;fps;
Stats - Lowest;2633.25;fps;
Stats - Ext. Spread;127.07;fps;
Stats - Std. Dev;50.63;fps;

Shot ID;V0;V10.00;V20.00;V30.00;V40.00;V50.00;Ke0;Ke10.00;Ke20.00;Ke30.00;Ke40.00;Ke50.00;PF10.00;Proj. Weight;Date;Time
0001;2658.62;2635.32;2610.56;2584.83;2559.56;2534.56;2824.55;2775.26;2723.36;2669.95;2617.99;2567.11;474.30;180.00;2023-10-22;16:31:40;
0002;2760.32;2727.50;2702.10;2677.05;2652.71;2628.26;3044.79;2972.81;2917.70;2863.86;2812.01;2760.43;490.86;180.00;2023-10-22;16:31:56;
0003;2665.23;2642.05;2617.98;2592.85;2568.09;2543.63;2838.63;2789.46;2738.86;2686.55;2635.48;2585.50;475.56;180.00;2023-10-22;16:33:01;
0004;2713.71;2689.58;2665.31;2640.04;2615.74;2591.02;2942.83;2890.72;2838.80;2785.23;2734.19;2682.76;484.20;180.00;2023-10-22;16:33:10;
0005;2633.25;2614.28;2593.33;2570.70;2548.05;2525.56;2770.92;2731.14;2687.53;2640.84;2594.50;2548.90;470.52;180.00;2023-10-22;16:33:22;
