sep=;
Device ID;LBR-0013797;;
Series No;0002
Shot No;0005

Time (s);Vel (fps);Dist (m);SNR
0.000000;2417.55;0.00;-
0.008021;2405.82;5.87;29.69
0.009021;2401.90;6.61;34.44
0.010021;2400.30;7.34;35.39
0.011021;2400.58;8.07;34.45
0.012021;2398.42;8.80;32.76
0.013021;2392.72;9.53;35.95
0.014021;2395.50;10.26;33.37
0.015021;2393.90;10.99;35.47
0.016021;2394.36;11.72;31.47
0.017021;2390.19;12.45;33.09
0.018021;2389.21;13.18;32.46
0.019021;2390.64;13.91;29.96
0.020021;2383.57;14.64;34.60
0.021021;2381.69;15.36;28.14
0.022021;2382.63;16.09;28.10
0.023021;2380.91;16.81;32.33
0.024021;2382.90;17.54;27.97
0.025021;2382.18;18.27;24.35
0.026021;2382.63;18.99;24.25
0.027021;2378.38;19.72;26.18
0.028021;2377.34;20.44;26.25
0.029021;2376.60;21.17;26.01
0.030021;2373.65;21.89;25.23
0.031021;2372.40;22.61;23.53
0.032021;2375.73;23.34;17.74
0.033021;2368.48;24.06;24.17
0.034021;2369.86;24.78;19.35
0.035021;2368.93;25.50;19.20
0.036021;2365.63;26.23;21.49
0.037021;2366.60;26.95;20.78
0.038021;2362.78;27.67;21.03
0.039021;2364.39;28.39;19.37
0.040021;2361.08;29.11;20.06
0.041021;2357.47;29.83;19.11
0.042021;2360.04;30.55;15.39
0.043021;2356.02;31.27;17.52
0.044021;2358.41;31.98;14.82
0.045021;2354.22;32.70;15.74
0.046021;2358.02;33.42;11.27
0.048021;2349.51;34.86;13.81
0.049021;2348.74;35.57;18.76
0.050021;2346.18;36.29;22.59
0.051021;2347.18;37.00;21.44
0.052021;2344.41;37.72;19.42
0.053021;2343.57;38.43;20.43
0.054021;2336.17;39.14;14.08
0.058021;2328.33;41.99;10.43
0.059021;2329.53;42.70;8.97
0.060021;2336.61;43.41;10.57
0.061021;2341.24;44.12;9.12
0.062021;2330.24;44.83;7.85
0.065021;2332.44;46.97;9.15
0.066021;2333.18;47.68;9.76
0.067021;2327.72;48.39;12.67
0.068021;2323.14;49.10;12.70
0.069021;2328.79;49.80;11.24
0.070021;2321.89;50.51;15.50
0.071021;2320.39;51.22;16.34
0.072021;2319.89;51.93;15.54
0.073021;2318.80;52.64;17.35
0.074021;2318.40;53.34;17.10
0.075021;2311.83;54.05;14.80
0.076021;2316.28;54.75;11.12
0.077021;2313.39;55.46;14.24
0.078021;2307.86;56.16;14.27
0.079021;2313.80;56.87;11.84
0.080021;2309.80;57.57;13.45
0.081021;2305.03;58.28;8.96
0.082021;2312.77;58.98;7.92
0.083021;2299.13;59.68;10.24
