Date,Firearm,Rounds,Range,Ammo,Notes
2014-09-11,XD-9,80,Phoenix,N/A,Handloads. Lots of stovepipes
2014-11-20,XD-9,80,Phoenix,N/A,Remington UMC
2014-11-22,Mauser 98K,5,Sean's place,N/A,"S&B, shooting at Tannerite."
2014-11-25,XD-9,75,Phoenix,N/A,Mix of Remington​ and handloads. Squib on the 76th round.
2014-12-02,XD-9,80,Phoenix,N/A,Worked on flinch elemination. One stoppage.
2014-12-02,CZ-85,50,Phoenix​,N/A,Better groups & less flinch.
2014-12-16,PT-101,100,Phoenix,N/A,"No flinch, breaking a bit to the left."
2014-12-16,XD-9,15,Phoenix,N/A,Hand a ripped rim.
2015-02-10,PT-101,70,Phoenix,N/A,Practicing double taps.
2015-02-15,Gevarm,200,SPFGA,N/A,With Ethan.
2015-03-15,M305,110,Wildwood,N/A,Zeroing scope & practicing.
2015-03-15,XD-9,80,Wildwood,N/A,Draw & fire. Flinching.
2015-05-05,XD-9,80,Phoenix,N/A,"One handed, both strong and weak hand."
2015-05-21,XD-9,76,Phoenix,N/A,One handed drills.
2015-06-19,Mauser 98K,40,SPFGA,N/A,Handloads.
2015-06-19,M305,40,SPFGA,N/A,Problems with zero - seems to be wandering?
2015-07-09,M305,60,SPFGA,N/A,Shooting high and right.
2015-09-17,M305,120,SPFGA,N/A,Changing the scope. Zero & practicing.
2015-09-26,M305,108,SPFGA,N/A,200m practicing.
2015-10-18,M15A4,225,SPFGA,N/A,Zeroing the EoTech at 50m. Practicing.
2015-11-04,XD-9,120,Phoenix,N/A,26662 drill
2015-11-09,SKS,100,SPFGA,N/A,Sights zeroed for a 6 o'clock hold?
2015-11-26,XD-9,160,Phoenix,N/A,26662 @ 15'
2015-12-02,XD-9,136,Phoenix,N/A,26662@ 12'
2015-12-06,SKS,80,SPFGA,N/A,"100m, 8"" high."
2015-12-06,Gevarm,160,SPFGA,N/A,Zeroing the Bushnell scope.
2015-12-29,SKS,100,SPFGA,N/A,"Shooting @ 50m. POI is 2"" left. Temp -12C."
2015-12-29,M15A4,70,SPFGA,N/A,Zeroing the Vortex Strike Eagle. -12C
Date,Firearm,Rounds,Range,Ammo,Notes
2016-01-03,SKS,80,SPFGA,N/A,Practicing. Roland fired 30.
2016-01-03,M15A4,60,SPFGA,N/A,Practicing at 50m.
2016-01-07,XD-9,98,Phoenix,N/A,"1-2-R-3 drill @ 12'. Always missed the 1"" target."
2016-01-14,PT-101,63,Phoenix,N/A,1-2-R-3 drill at 9'. 6.0gr 800X and 179gr bullet
2016-01-14,XD-9,60,Phoenix,N/A,"1-2-R-3 drill @ 9'. Got some hits on the 1""."
2016-01-19,700SPS,20,Phoenix,N/A,"Breaking in the barrels. 0.5"" high @ 40 yards."
2016-01-27,700SPS,54,SPFGA,N/A,Shooting @ 100 & 200m.
2016-02-11,PT-101,100,Phoenix,N/A,Crimp issues?
2016-03-03,700SPS,35,SPFGA,N/A,
2016-03-03,M15A4,65,SPFGA,N/A,100m practicing
2016-03-10,PT-101,50,Phoenix,N/A,15' low ready. Pin on rear sight needs securing.
2016-03-16,700SPS,36,SPFGA,N/A,
2016-03-30,PT-101,110,Phoenix,N/A,"1-R-2 at 3, 4, and 5 yards."
2016-06-04,Husqvarna,45,SPFGA,N/A,Zeroing Bushnell 3200 w/150gr Sierra Pro Hunter
2016-06-12,Husqvarna,15,Edson,N/A,Zeroing the 3200 at 300m.
2016-06-24,700SPS,41,SPFGA,N/A,Zeroing Vortex Strike Eagle @ 200m
2016-08-01,SKS,60,SPFGA,N/A,50m & 100m zeroing.
2016-08-01,700SPS,40,SPFGA,N/A,
2016-08-10,700SPS,40,SPFGA,N/A,200m practicing.
2016-08-27,Husqvarna,20,Edson,N/A,Won't hold zero with 6x Bushnell.
2016-08-27,M305,95,Edson,N/A,Zeroed the Elite 3200. Shooting out to 300m.
2016-09-10,M96,40,Edson,N/A,Zeroing @ 200m w/ Vortex DiamondBack.
2016-09-10,M305,35,Edson,N/A,Confirming DOPE  at 100m/200m/300m.
2016-10-13,700SPS,29,SPFGA,N/A,
2016-10-24,700SPS,25,SPFGA,N/A,Zeroing SWFA 6X Super Sniper @ 100m.
2016-10-27,700SPS,35,SPFGA,N/A,
2016-10-30,M96,31,SPFGA,N/A,
2016-11-07,700SPS,22,Edson,N/A,Training day w/Ben. Was getting hits out to 400m.
2016-11-23,M96,33,SPFGa,N/A,
2016-12-04,M15A4,35,SPFGA,N/A,Zeroing the Strike Eagle. Very windy. SR0009.
2016-12-27,M15A4,10,SPFGA,N/A,50m zero of Strike Eagle.
2016-12-27,SKS,10,Edson,N/A,25m zeroing of the Raven Eye rear peep sight.
2016-12-27,M305,140,Edson,N/A,Shooting at 300m & 400m.
2016-12-27,Gevarm,30,Edson,N/A,Zeroing @ 25m
Date,Firearm,Rounds,Range,Ammo,Notes
2017-01-17,PT-101,141,Phoenix,N/A,Ran into Jim Duke. Downward flinch.
2017-01-24,PT-101,95,Phoenix,N/A,Working  on flinch.
2017-01-31,PT-101,50,Phoenix,N/A,165gr/7.2gr 800X. harsh impluse
2017-01-31,PT-101,100,Phoenix,N/A,165gr / 5.4gr WSF. soft impluse.
2017-01-31,PT-101,50,Phoenix,N/A,Working on flinch. Kept most rounds inside 4” @ 30'
2017-01-31,PT-101,100,Phoenix,N/A,"Kept most rounds inside 4"" at 30'."
2017-02-08,PT-101,155,Phoenix,N/A,"Working on flinch control. 4"" target @21 feet. off to the left a bit, 2” vertical spread (up and down)."
2017-02-08,PT-101,155,Phoenix,N/A,Working on flinch.
2017-02-11,PT-101,45,Phoenix,N/A,Working on flinch. Locking block broke.
2017-02-12,PT-101,45,Phoenix,N/A,Flinch control. Good group but off to the left a bit or off vertically. Locking block broke on PT-101.
2017-02-27,PT-101,191,Phoenix,N/A,flinch control @ 7 yards. getting better
2017-03-05,Gevarm,52,Phoenix,N/A,"Zeroing at 40yards. Had mechanical problems, need new roll pons"
2017-03-12,Gevarm,100,Phoenix,N/A,Zeroed the scope for 40yards
2017-03-19,M96,15,Phoenix,N/A,"Doing a rough zero of the scope. The ""orange"" bullets seemed to shoot better."
2017-03-19,Gevarm,50,Phoenix,N/A,"Zero changed at 3x. +7 ticks up, +7 ticks right"
2017-04-02,M96,51,SPFGA,N/A,"Zeroing at 100m. Got my best group ever. Three rounds at 100m, all touching."
2017-04-14,Remington 597,230,SPFGA,N/A,zeroing the scope. practiced with the Mapleseed targets.
2017-04-17,Remington 597,91,Phoenix,N/A,"40 yards, Winchester. down 4 clicks. left 6 clicks from the zeroing done Thursday night."
2017-04-22,Remington 597,90,SPFGA,N/A,lots of fail to fire with Winchester. had to re-zero after dropping the rifle.
2017-04-22,SKS,65,SPFGA,N/A,Adjusting sights. did some rapid fire from the standing at 25m
2017-04-28,SKS,120,SPFGA,N/A,"Seems that a heavy, quick pull of trigger works best."
2017-04-30,SKS,100,SPFGA,N/A,"Trying to adjust sights (horizontally) at 100m. Originally had to adjust sights left, then right, then left. Stopped with the rifle shooting way to the right (approx 8inches at 100m)."
2017-05-04,SKS,95,SPFGA,N/A,"Zeroing again. shooting about 2"" high? Could drop POI a bit next time. "
2017-05-09,Remington 597,120,SPFGA,N/A,Sitting and standing. Adjusted zero a bit down and left.
2017-05-09,M15A4,42,SPFGA,N/A,Adjusted the zero on the Vortex Strike Eagle. Had a squib.
2017-05-15,M305,80,SPFGA,N/A,200m zero. 917kPa.
2017-05-22,M15A4,89,SPFGA,N/A,"200m practice.
55gr +3.5MOA elevation, +1MOA wind"
2017-05-23,M15A4,35,SPFGA,N/A,Confirming elevation & windage
2017-05-23,700SPS,25,SPFGA,N/A,Elevation w/68gr Hornaday
2017-05-29,M96,27,SPFGA,N/A,"Zeroing and chronying load - 33gr H4895 & 140gr Barnes. 2.999"" length. excellent results"
2017-05-29,SKS,50,SPFGA,N/A,Trying to zero TRS-25 @ 100M. The mount is incorrectly attached to the rifle.
2017-06-02,SKS,50,SPFGA,N/A,Zeroing the TRS-25 @ 25m. Hitting about 1” or so high. Practiced double taps from the low ready.
2017-06-02,M96,34,SPFGA,N/A,"Gathering DOPE for 300m.
From a 100m zero.
+7MOA for 140gr Barnes Match Burner/33gr H4895
+6MOA for 140gr SMK/ 33gr H4895"
2017-06-04,PT-101,130,SPFGA,N/A,Handgun fun shoot.
2017-06-08,M305,40,SPFGA,N/A,"Very poor groups with the Norinco ammo and the Matador Arms muzzle brake. 200m zero.

10 rounds fired, 6 hit the paper:
* 3.6MOA wide, 2.5MOA high. 
* Need +2.75 MOA elevation, -0.75 wind."
2017-06-08,700SPS,24,SFGA,N/A,"200M, good results. All sub-MOA
+0MOA elevation, +0MOA windage."
2017-06-10,Remington 597,17,SPFGA,N/A,"Shooting at 100m
+2.1 MOA Elevation / -1.75MOA Wind"
