CZ457
﻿#,Speed (FPS),Δ Avg (FPS),KE (FT-LBS),Power Factor (kgr⋅ft/s),Time,Clean Bore,Cold Bore,Shot Notes
1,"1,369.8",-0.8,150.0,49.3,13:32:27,,,
2,"1,402.0",31.5,157.1,50.5,13:32:45,,,
3,"1,374.0",3.4,150.9,49.5,13:32:57,,,
4,"1,369.1",-1.5,149.8,49.3,13:33:07,,,
5,"1,391.6",21.1,154.8,50.1,13:38:00,,,
6,"1,374.1",3.5,150.9,49.5,13:38:18,,,
7,"1,361.0",-9.5,148.0,49.0,13:38:26,,,
8,"1,332.2",-38.4,141.8,48.0,13:38:33,,,
9,"1,361.3",-9.3,148.1,49.0,13:38:43,,,
-,,,,,,
AVERAGE SPEED,"1,370.6",,,,,
AVERAGE POWER FACTOR,49.3,,,,,
STD DEV,18.6,,,,,
SPREAD,69.8,,,,,
Projectile Weight (GRAINS),36.0,,,,,
AVG KINETIC ENERGY,150.2,,,,,
Session Note,Patched on MQT with a 218. Had mag problems and only fired 38 / 40 rounds,,,,,
-,,,,,,
Date,"JULY 05, 2026 13:30",,,,,
All shots included in the calculations,,,,,,
