Phoenix Indoor range. 45 Rounds. TM22 Feather. CCI SV.
﻿#,Speed (FPS),Δ Avg (FPS),KE (FT-LBS),Power Factor (kgr⋅ft/s),Time,Clean Bore,Cold Bore,Shot Notes
1,1050.4,-25.0,98.0,42.0,15:18:37,,,
2,1053.2,-22.3,98.5,42.1,15:19:08,,,
3,1064.1,-11.3,100.6,42.6,15:19:18,,,
4,1068.0,-7.4,101.3,42.7,15:19:26,,,
5,1088.1,12.6,105.1,43.5,15:19:34,,,
6,1071.4,-4.1,101.9,42.9,15:20:19,,,
7,1070.5,-4.9,101.8,42.8,15:20:27,,,
8,1091.2,15.7,105.7,43.6,15:20:36,,,
9,1061.8,-13.6,100.1,42.5,15:20:50,,,
10,1061.5,-14.0,100.1,42.5,15:21:00,,,
11,1052.3,-23.1,98.3,42.1,15:26:01,,,
12,1080.0,4.6,103.6,43.2,15:26:17,,,
13,1068.9,-6.5,101.5,42.8,15:26:26,,,
14,1097.2,21.8,106.9,43.9,15:27:17,,,
15,1088.6,13.2,105.2,43.5,15:27:29,,,
16,1069.1,-6.4,101.5,42.8,15:27:37,,,
17,1085.6,10.2,104.7,43.4,15:28:18,,,
18,1067.5,-7.9,101.2,42.7,15:28:28,,,
19,1084.9,9.4,104.5,43.4,15:28:39,,,
20,1071.3,-4.1,101.9,42.9,15:29:53,,,
21,1086.8,11.4,104.9,43.5,15:30:06,,,
22,1054.9,-20.6,98.8,42.2,15:31:14,,,
23,1073.7,-1.8,102.4,42.9,15:31:23,,,
24,1061.8,-13.6,100.1,42.5,15:31:33,,,
25,1073.4,-2.0,102.3,42.9,15:31:42,,,
26,1082.7,7.3,104.1,43.3,15:32:37,,,
27,1073.8,-1.7,102.4,43.0,15:33:01,,,
28,1077.2,1.8,103.0,43.1,15:33:14,,,
29,1082.8,7.4,104.1,43.3,15:33:27,,,
30,1063.1,-12.3,100.4,42.5,15:33:39,,,
31,1090.2,14.8,105.5,43.6,15:33:51,,,
32,1147.7,72.3,117.0,45.9,15:34:22,,,
-,,,,,,
AVERAGE SPEED,1075.4,,,,,
AVERAGE POWER FACTOR,43.0,,,,,
STD DEV,17.8,,,,,
SPREAD,97.3,,,,,
Projectile Weight (GRAINS),40.0,,,,,
AVG KINETIC ENERGY,102.7,,,,,
Session Note,Adjusted the zero for the CCI SV. double check at 50m with bigger POA,,,,,
-,,,,,,
Date,"MAY 05, 2026 15:35",,,,,
All shots included in the calculations,,,,,,
