Tikka, T3x CTR, 178gr Hornady HPBT, 40.3gr IMR-3031
﻿#,Speed (FPS),Δ Avg (FPS),KE (FT-LBS),Power Factor (kgr⋅ft/s),Time,Clean Bore,Cold Bore,Shot Notes
1,"2,610.3",-7.6,"2,692.5",464.6,10:45:05,,,
2,"2,622.4",4.5,"2,717.6",466.8,10:46:28,,,
3,"2,609.8",-8.0,"2,691.5",464.5,10:48:23,,,
4,"2,617.9",0.1,"2,708.4",466.0,10:49:23,,,
5,"2,591.2",-26.6,"2,653.4",461.2,10:50:03,,,
6,"2,601.6",-16.3,"2,674.6",463.1,10:50:52,,,
7,"2,610.3",-7.5,"2,692.6",464.6,10:52:06,,,
8,"2,621.6",3.7,"2,715.9",466.6,10:53:00,,,
9,"2,631.3",13.4,"2,736.0",468.4,10:53:44,,,
10,"2,615.2",-2.6,"2,702.8",465.5,10:54:29,,,
11,"2,621.8",3.9,"2,716.3",466.7,10:55:11,,,
12,"2,615.7",-2.1,"2,703.7",465.6,10:55:56,,,
13,"2,638.0",20.2,"2,750.0",469.6,10:56:28,,,
14,"2,614.0",-3.9,"2,700.2",465.3,10:57:18,,,
15,"2,637.3",19.4,"2,748.5",469.4,10:57:50,,,
16,"2,669.7",51.9,"2,816.5",475.2,10:58:30,,,
17,"2,601.8",-16.0,"2,675.1",463.1,10:59:08,,,
18,"2,613.6",-4.3,"2,699.3",465.2,10:59:31,,,
19,"2,607.7",-10.1,"2,687.2",464.2,10:59:59,,,
20,"2,605.7",-12.1,"2,683.1",463.8,11:00:31,,,
-,,,,,,
AVERAGE SPEED,"2,617.8",,,,,
AVERAGE POWER FACTOR,466.0,,,,,
STD DEV,16.4,,,,,
SPREAD,78.5,,,,,
Projectile Weight (GRAINS),178.0,,,,,
AVG KINETIC ENERGY,"2,708.2",,,,,
Session Note,"Dialed +1.5Mil up, 0.2Mil left. POA was 2.5mil above POI.",,,,,
-,,,,,,
Date,"SEPTEMBER 01, 2026 10:44",,,,,
All shots included in the calculations,,,,,,
