row_id,id,event_date,firearm_name,range_name,rounds_fired,ammo_description,notes,created,modified
1,01KWG95NHZH9EP81DG1XNFWT1V,2014-09-11 20:05:21.7747766,Springfield XD-9,Phoenix,80,N/A,Handloads. Lots of stovepipes,2026-07-02 02:05:21.8570958+00:00,2026-07-02 02:05:21.8579219+00:00
2,01KWG95NKEVH4NA5YCTS1MW660,2014-11-20 20:05:21.8687903,Springfield XD-9,Phoenix,80,N/A,Remington UMC,2026-07-02 02:05:21.9022315+00:00,2026-07-02 02:05:21.9022476+00:00
3,01KWG95NKF67H4H6RD9MZFG0KW,2014-11-22 20:05:21.9025022,Mauser 98k,Sean's place,5,N/A,"S&B, shooting at Tannerite.",2026-07-02 02:05:21.903101+00:00,2026-07-02 02:05:21.9031034+00:00
4,01KWG95NKGN1PHJ2GC7E2MWCFC,2014-11-25 20:05:21.903361,Springfield XD-9,Phoenix,75,N/A,Mix of Remington​ and handloads. Squib on the 76th round.,2026-07-02 02:05:21.9040536+00:00,2026-07-02 02:05:21.9040559+00:00
5,01KWG95NKGN1PHJ2GC7E2MWCFM,2014-12-02 20:05:21.9044375,Springfield XD-9,Phoenix,80,N/A,Worked on flinch elemination. One stoppage.,2026-07-02 02:05:21.9048746+00:00,2026-07-02 02:05:21.9048763+00:00
6,01KWG95NKH7PQ13ZJ02RDFMBN5,2014-12-02 20:05:21.9050427,CZ-85,Phoenix,50,N/A,Better groups & less flinch.,2026-07-02 02:05:21.9054081+00:00,2026-07-02 02:05:21.9054099+00:00
7,01KWG95NKH7PQ13ZJ02RDFMBNE,2014-12-16 20:05:21.9055678,PT-101,Phoenix,100,N/A,"No flinch, breaking a bit to the left.",2026-07-02 02:05:21.9058893+00:00,2026-07-02 02:05:21.905891+00:00
8,01KWG95NKJBH6VV9K44EHPHPKC,2014-12-16 20:05:21.9060404,Springfield XD-9,Phoenix,15,N/A,Hand a ripped rim.,2026-07-02 02:05:21.9067522+00:00,2026-07-02 02:05:21.9067547+00:00
9,01KWG95NKKHEKR640MGQNK9076,2015-02-10 20:05:21.9069939,PT-101,Phoenix,70,N/A,Practicing double taps.,2026-07-02 02:05:21.9077671+00:00,2026-07-02 02:05:21.9077704+00:00
10,01KWG95NKMASTB70X6SGFSS48H,2015-02-15 20:05:21.908052,Gevarm,SPFGA,200,N/A,With Ethan.,2026-07-02 02:05:21.9086152+00:00,2026-07-02 02:05:21.9086181+00:00
11,01KWG95NKNDBGE47CRZH914JBN,2015-03-15 20:05:21.9088364,M305,Wildwood,110,N/A,Zeroing scope & practicing.,2026-07-02 02:05:21.9091365+00:00,2026-07-02 02:05:21.9091457+00:00
12,01KWG95NKNDBGE47CRZH914JBX,2015-03-15 20:05:21.9092961,Springfield XD-9,Wildwood,80,N/A,Draw & fire. Flinching.,2026-07-02 02:05:21.9098391+00:00,2026-07-02 02:05:21.9098407+00:00
13,01KWG95NKP3QBNMYD9X7ATBGCV,2015-05-05 20:05:21.9099844,Springfield XD-9,Phoenix,80,N/A,"One handed, both strong and weak hand.",2026-07-02 02:05:21.9104737+00:00,2026-07-02 02:05:21.9104753+00:00
14,01KWG95NKQRNG11QWR6SWRNRNB,2015-05-21 20:05:21.9106342,Springfield XD-9,Phoenix,76,N/A,One handed drills.,2026-07-02 02:05:21.9111877+00:00,2026-07-02 02:05:21.9111893+00:00
15,01KWG95NKQRNG11QWR6SWRNRNK,2015-06-19 20:05:21.9113355,Mauser 98k,SPFGA,40,N/A,Handloads.,2026-07-02 02:05:21.911662+00:00,2026-07-02 02:05:21.9116635+00:00
16,01KWG95NKRNAEHA0VGPPZ8BN5P,2015-06-19 20:05:21.9118014,M305,SPFGA,40,N/A,Problems with zero - seems to be wandering?,2026-07-02 02:05:21.912125+00:00,2026-07-02 02:05:21.9121332+00:00
17,01KWG95NKRNAEHA0VGPPZ8BN5Y,2015-07-09 20:05:21.9122696,M305,SPFGA,60,N/A,Shooting high and right.,2026-07-02 02:05:21.9126145+00:00,2026-07-02 02:05:21.9126183+00:00
18,01KWG95NKS3PAZX30E82A2A44J,2015-09-17 20:05:21.9127575,M305,SPFGA,120,N/A,Changing the scope. Zero & practicing.,2026-07-02 02:05:21.9131356+00:00,2026-07-02 02:05:21.9131372+00:00
19,01KWG95NKS3PAZX30E82A2A44T,2015-09-26 20:05:21.9132775,M305,SPFGA,108,N/A,200m practicing.,2026-07-02 02:05:21.9136769+00:00,2026-07-02 02:05:21.9136784+00:00
20,01KWG95NKTMFEQESG8XSEJ5RHE,2015-10-18 20:05:21.9138133,Armalite M15A4,SPFGA,225,N/A,Zeroing the EoTech at 50m. Practicing.,2026-07-02 02:05:21.914093+00:00,2026-07-02 02:05:21.9140945+00:00
